segment_id,study_area,failure_mode,district,centroid_lat,centroid_lon,seg_length_m,canal_type,label,canal_type_encoded,pre_NDVI,pre_LSWI,pre_NDWI,base_NDVI,base_LSWI,base_NDWI,NDVI_anomaly,LSWI_anomaly,NDWI_anomaly,S1_VV,S1_VH,S1_ratio,S1_flood_proxy,S1_SMI,slope,aspect,TWI,smap_sm_mean,smap_sm_max,smap_sm_anom,era5_sm_l1,era5_sm_l2,era5_sm_l3,sm_days_above_fc,sm_l2_anom,clay_pct,encroachment_pct,rain_1d,rain_3d,rain_7d,rain_30d,rain_1d_anom,rain_30d_anom,gauge_level_m,gauge_level_anom,gauge_discharge,Q_ratio,apwrims_sm_5cm,apwrims_sm_30cm,apwrims_sm_100cm,apwrims_sm_150cm,OT_risk,SP_risk,SL_risk,V_score_physical,cv_group,V_score_ml,V_score_final,alert_tier
Budameru_Krishna_0001,Budameru_Krishna,overtopping,Krishna,16.63826099466185,80.59491643106483,200.0,overtopping,1,1,0.3030276115101435,0.2109092790066639,-0.2634020554305015,0.3649681037785625,0.2107551870749345,-0.3841681441345789,-0.0619404922684189,0.0001540919317293,0.1207660887040774,-9.832368506428896,-17.23337182372133,7.401003317292437,0.0961360853970231,0.8167631493571104,2.150210236334637,175.0399207384853,3.489969602482238,0.4035545370993029,0.4805748227300215,0.0154184247497219,0.4291215355073705,0.4284401545429596,0.4171088503933519,61.0,0.060889805991286,32.025527482701484,0.8006547331184709,96.73,117.15,117.28,236.73480192763543,96.73,129.91991773725078,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5784163495714394,0.9386940716041243,0.8637377374743642,0.7758438992586103,Budameru,0.9576187,0.8667313063187583,RED
Budameru_Krishna_0002,Budameru_Krishna,overtopping,Krishna,16.63775177042372,80.59311702657261,200.0,overtopping,1,1,0.3091383005201659,0.2208804394033329,-0.2736224972902604,0.3419690299548515,0.1689603415131538,-0.3833594184115385,-0.0328307294346856,0.051920097890179,0.109736921121278,-10.766575226402736,-18.27641674385761,7.509841517454874,0.1549450077332875,0.7233424773597263,1.5802445271347798,132.2601362779684,3.8688751638068446,0.4035422823645852,0.4806082380901683,0.01552856575359,0.4291029388277843,0.4284136695242944,0.4170589889072474,61.0,0.060852123212724,32.071983748454336,0.7421757237274378,96.73,117.15,117.28,236.99173535962188,96.73,130.1814974463755,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925620387141932,0.948695623580962,0.8878591253836274,0.7910330650849209,Budameru,0.9576187,0.8743258892319136,RED
Budameru_Krishna_0003,Budameru_Krishna,overtopping,Krishna,16.63724362646031,80.59131730620408,200.0,overtopping,1,1,0.349574742208329,0.2363393139574649,-0.3126700203380062,0.3352167204784744,0.153983825776466,-0.3918952748978982,0.0143580217298545,0.0823554881809989,0.0792252545598919,-11.530764994092294,-18.86147238999325,7.330707395900957,0.2286745124989262,0.6469235005907705,1.6292645211172316,172.7216584517251,3.8766657020374087,0.4034973408175495,0.4806244975854581,0.0157064737835414,0.4290794406977644,0.4283802039580741,0.4169959856341076,61.0,0.0608045085390372,32.11219604307784,0.7044408445416944,96.73,117.15,117.28,237.36344343601388,96.73,130.55881764105257,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081177761684289,0.9557974550942088,0.8584655856995692,0.7923926161752369,Budameru,0.959547,0.875969799708636,RED
Budameru_Krishna_0004,Budameru_Krishna,overtopping,Krishna,16.63674664577756,80.5895142724678,200.0,overtopping,1,1,0.2602467956951311,0.1840748697037879,-0.242195293093157,0.2802419267336883,0.1206156004800704,-0.344923342508636,-0.0199951310385572,0.0634592692237174,0.102728049415479,-11.539154290629924,-19.394306212146816,7.8551519215168915,0.2236276952151877,0.6460845709370074,1.6241542625169143,158.7261260390489,3.8621207675836113,0.4034651030618024,0.4806465912296112,0.0158766856035554,0.4290332739226154,0.4283144541614042,0.4168722031057858,61.0,0.0607109599914707,32.1312509898035,0.7084403870068808,96.73,117.15,117.28,237.7419409706656,96.73,130.911051629391,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6098495933236759,0.9237878656341821,0.8730960055876176,0.7855395916983385,Budameru,0.9624579,0.8739987434886346,RED
Budameru_Krishna_0005,Budameru_Krishna,overtopping,Krishna,16.636259732602312,80.58770825081515,200.0,overtopping,1,1,0.2981383241285985,0.2049663637591359,-0.2579593178031124,0.2880825894778608,0.1767426130448267,-0.3293263791815453,0.0100557346507377,0.0282237507143092,0.0713670613784329,-11.297089695103626,-18.719973156235525,7.422883461131881,0.1992654796933056,0.6702910304896375,1.987483690136761,146.01928188276227,3.5761002734938865,0.4033872242792544,0.4806617776313461,0.0161141144942089,0.4289863801116372,0.4282476689348654,0.4167464712463092,61.0,0.0606159382384305,32.12769106607176,0.6487428858548088,96.73,117.15,117.28,238.0769451583457,96.73,131.2509074414941,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5992972901280649,0.923875715548384,0.8027752634717757,0.7637692323611043,Budameru,0.96477413,0.8642716820680033,RED
Budameru_Krishna_0006,Budameru_Krishna,overtopping,Krishna,16.635936794279363,80.58588344197284,200.0,overtopping,1,1,0.2761548947964152,0.1896861654178991,-0.2198515123409558,0.3105551570680379,0.1932420539990124,-0.3048679580816927,-0.0344002622716227,-0.0035558885811133,0.0850164457407368,-12.692511206448726,-19.45662356727166,6.76411236082292,0.3085926594076841,0.5307488793551274,2.326502996327083,161.81393775372126,3.3419246950407344,0.4033076357540241,0.4806676145495061,0.0163915289653337,0.4289432000182703,0.4281861727105808,0.4166306966202307,61.0,0.0605284416566305,32.08333891667021,0.6180245816101729,96.73,117.15,117.28,238.46157806943265,96.73,131.6411858812658,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6300546859131828,0.8835100488135912,0.7832601320469325,0.7570654244617631,Budameru,0.96913046,0.8630979404546821,RED
Budameru_Krishna_0007,Budameru_Krishna,overtopping,Krishna,16.635904825068085,80.58402528396925,200.0,overtopping,1,1,0.2709603937432775,0.1567824019398188,-0.2347684839754214,0.2061909625714979,0.2630549090506702,-0.2067999256185655,0.0647694311717796,-0.1062725071108513,-0.0279685583568559,-11.618898386727492,-18.46950318607488,6.85060479934738,0.2344589079348712,0.6381101613272507,2.136078090267711,170.93234754034992,3.3792273572735385,0.4031937341110513,0.4806698124618162,0.0167502016008402,0.4289432000182703,0.4281861727105808,0.4166306966202307,61.0,0.0605284416566305,32.004208661992394,0.6057706383589322,96.73,117.15,117.28,238.71055070870568,96.73,131.94980804352184,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5956517345192571,0.8455080348740486,0.7356666401466837,0.7181051660502907,Budameru,0.97280866,0.8454569125634908,RED
Budameru_Krishna_0008,Budameru_Krishna,overtopping,Krishna,16.635999833917936,80.58215256830108,200.0,overtopping,1,1,0.2070723552418429,0.1445012781819467,-0.1729466251160223,0.1224345758638875,0.2948990593569758,-0.1347270552334327,0.0846377793779553,-0.1503977811750291,-0.0382195698825895,-12.968850307082873,-19.72838959754444,6.759539290461545,0.3437097189997423,0.5031149692917127,1.4027448895761856,154.4324167592906,3.946685005795015,0.4030898268257237,0.480669370985777,0.0171091971127708,0.4289577076157772,0.4282068341404331,0.4166695944443365,61.0,0.0605578386563359,31.8988376366392,0.6246053993257366,96.73,117.15,117.28,238.9812514351157,96.73,132.25473110517254,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6232675966908658,0.8027250133276406,0.8123303193642578,0.7333433731820851,Budameru,0.9741812,0.8537622742070093,RED
Budameru_Krishna_0009,Budameru_Krishna,overtopping,Krishna,16.636034164782373,80.58028561170966,200.0,overtopping,1,1,0.2080194452306804,0.1435008638500123,-0.1871511564687227,0.2378277682675841,0.1718253069166236,-0.2713194893472786,-0.0298083230369037,-0.0283244430666113,0.0841683328785558,-11.985398741204817,-18.87949494518153,6.8940962039767175,0.2204587431811348,0.6014601258795185,2.1246315179046067,176.00608901560918,3.465012966754485,0.4029802149519896,0.4806668572127818,0.0174916431021231,0.4289532098304829,0.4282004284846859,0.4166575349657661,61.0,0.0605487247149746,31.78975918592594,0.6663951446844982,96.73,117.15,117.28,239.35459515098484,96.73,132.64809743466787,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6065859071347358,0.862851551538279,0.8099827822731103,0.7471281014605695,Budameru,0.97280866,0.8599683802686301,RED
Budameru_Krishna_0010,Budameru_Krishna,overtopping,Krishna,16.635661160222778,80.5784948499598,200.0,overtopping,1,1,0.2716372164745902,0.1526953537040839,-0.2412238574381147,0.2934979558051261,0.1789370457232381,-0.3139206135481553,-0.0218607393305358,-0.0262416920191541,0.0726967561100405,-11.000988313287282,-17.84641108243855,6.845422769151276,0.1546145913895334,0.6999011686712718,3.0395360077332056,169.1477525374577,3.0922934842825023,0.4029092051518651,0.4806789166222399,0.0177555197061827,0.4289094589733687,0.4281381193901019,0.4165402300058167,61.0,0.060460071584566,31.701627228800252,0.7256658973495519,96.73,117.15,117.28,239.72731837865453,96.73,133.01999743181665,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5876371751825258,0.8826560588763929,0.7769859490969091,0.7382309779539751,Budameru,0.97280866,0.8555198185153329,RED
Budameru_Krishna_0011,Budameru_Krishna,overtopping,Krishna,16.63494148334994,80.57677453228044,200.0,overtopping,1,1,0.2555782960653422,0.1599527487379019,-0.2226185228406567,0.2457322313475514,0.1395139435639157,-0.279304244896548,0.0098460647177907,0.0204388051739862,0.0566857220558912,-11.50402505588072,-18.1238127812019,6.619787725321187,0.2048164299984962,0.6495974944119279,2.0710004833252773,186.1850652489125,3.600221688003821,0.4028731025800234,0.4806996464872762,0.0179536642078602,0.4288452957608035,0.4280467394276457,0.4163681953629177,61.0,0.0603300565396923,31.636518517844845,0.7673136591196561,96.73,117.15,117.28,240.18519513547423,96.73,133.43651242641272,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5988511286314546,0.8958415705945206,0.8386065556574508,0.7627366400750267,Budameru,0.9733696,0.8680531192318492,RED
Budameru_Krishna_0012,Budameru_Krishna,overtopping,Krishna,16.63420475036161,80.57506231109166,200.0,overtopping,1,1,0.2779863205524147,0.2029111544867184,-0.2338939123779099,0.3155756267582155,0.1703242548215498,-0.3504216057110708,-0.0375893062058008,0.0325868996651686,0.1165276933331609,-11.196155962522711,-17.82143506999259,6.6252791074698685,0.2140985437518794,0.6803844037477287,1.7663831432437664,155.37927701527167,3.7125904135552057,0.4028399476351646,0.4807187603213466,0.0181285524024412,0.4288218890088757,0.428013404000274,0.4163054370930559,61.0,0.0602826270270386,31.567809352888744,0.7940333538505542,96.73,117.15,117.28,240.53305885602504,96.73,133.73289448254764,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6091262714670241,0.9252230303025185,0.8804205494253753,0.787583706549035,Budameru,0.9741812,0.8808824408904843,RED
Budameru_Krishna_0013,Budameru_Krishna,overtopping,Krishna,16.633435993441914,80.57336528647122,200.0,overtopping,1,1,0.2534558634537427,0.1956497739931208,-0.2012739541394606,0.3714531159338504,0.2279173906700184,-0.3890346387478706,-0.1179972524801076,-0.0322676166768975,0.18776068460841,-12.4030711553984,-19.041847858227115,6.638776702828734,0.2435613790140694,0.5596928844601601,1.4687862388867412,136.09460765365287,3.9428216557206426,0.4027883313381327,0.4807327343867374,0.0183180944206049,0.428790870244448,0.4279692276971322,0.41622226946712,61.0,0.0602197731597251,31.493940183946787,0.8455059518345409,96.73,117.15,117.28,240.98139608754428,96.73,134.1494104624613,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6262375055428081,0.8791087226956379,0.9643171952817086,0.7992623539810235,Budameru,0.9741812,0.8867217646064786,RED
