segment_id,study_area,failure_mode,district,centroid_lat,centroid_lon,seg_length_m,pre_NDVI,pre_LSWI,pre_NDWI,pre_slope,pre_aspect,pre_TWI,base_NDVI,base_LSWI,base_NDWI,NDVI_anomaly,LSWI_anomaly,NDWI_anomaly,S1_VV,S1_VH,S1_ratio,S1_flood_proxy,rain_1d,rain_3d,rain_7d,rain_30d,rain_1d_anom,rain_30d_anom,canal_type_encoded,label,OT_risk,SP_risk,SL_risk,V_score_physical,cv_group,V_score_ml,V_score_final,alert_tier
Budameru_Krishna_0001,Budameru_Krishna,overtopping,Krishna,16.63826099466185,80.59491643106483,200.0,0.3030276115101435,0.2109092790066639,-0.2634020554305015,2.150210236334637,175.0399207384853,3.489969602482238,0.3649681037785625,0.2107551870749345,-0.3841681441345789,-0.0619404922684189,0.0001540919317293,0.1207660887040774,-9.832368506428896,-17.23337182372133,7.401003317292437,0.0961360853970231,96.73,117.15,117.28,236.73,96.73,129.92,1,1,0.6045470355305846,0.49918287128186906,0.5084969310611884,0.5436570519261852,Budameru,0.93973917,0.7416981098082311,RED
Budameru_Krishna_0002,Budameru_Krishna,overtopping,Krishna,16.63775177042372,80.59311702657261,200.0,0.3091383005201659,0.2208804394033329,-0.2736224972902604,1.5802445271347798,132.2601362779684,3.8688751638068446,0.3419690299548515,0.1689603415131538,-0.3833594184115385,-0.0328307294346856,0.051920097890179,0.109736921121278,-10.766575226402736,-18.27641674385761,7.509841517454874,0.1549450077332875,96.73,117.15,117.28,236.99,96.73,130.18,1,1,0.6172657149962065,0.5354368889692366,0.5365147242308185,0.56843787819542,Budameru,0.93973917,0.7540885229428486,RED
Budameru_Krishna_0003,Budameru_Krishna,overtopping,Krishna,16.63724362646031,80.59131730620408,200.0,0.349574742208329,0.2363393139574649,-0.3126700203380062,1.6292645211172316,172.7216584517251,3.8766657020374087,0.3352167204784744,0.153983825776466,-0.3918952748978982,0.0143580217298545,0.0823554881809989,0.0792252545598919,-11.530764994092294,-18.86147238999325,7.330707395900957,0.2286745124989262,96.73,117.15,117.28,237.36,96.73,130.56,1,1,0.6288489160380512,0.5662152822743188,0.5205818723393826,0.5798603832960777,Budameru,0.93973917,0.7597997754931773,RED
Budameru_Krishna_0004,Budameru_Krishna,overtopping,Krishna,16.63674664577756,80.5895142724678,200.0,0.2602467956951311,0.1840748697037879,-0.242195293093157,1.6241542625169143,158.7261260390489,3.8621207675836113,0.2802419267336883,0.1206156004800704,-0.344923342508636,-0.0199951310385572,0.0634592692237174,0.102728049415479,-11.539154290629924,-19.394306212146816,7.8551519215168915,0.2236276952151877,96.73,117.15,117.28,237.74,96.73,130.91000000000005,1,1,0.6336551483189439,0.4914023357677806,0.531557858329856,0.5583423414287647,Budameru,0.93973917,0.7490407545595209,RED
Budameru_Krishna_0005,Budameru_Krishna,overtopping,Krishna,16.636259732602312,80.58770825081515,200.0,0.2981383241285985,0.2049663637591359,-0.2579593178031124,1.987483690136761,146.01928188276227,3.5761002734938865,0.2880825894778608,0.1767426130448267,-0.3293263791815453,0.0100557346507377,0.0282237507143092,0.0713670613784329,-11.297089695103626,-18.719973156235525,7.422883461131881,0.1992654796933056,96.73,117.15,117.28,238.08,96.73,131.25,1,1,0.618991832410798,0.49170242902226835,0.48970893034706975,0.5421198157088806,Budameru,0.93973917,0.7409294916995788,RED
Budameru_Krishna_0006,Budameru_Krishna,overtopping,Krishna,16.635936794279363,80.58588344197284,200.0,0.2761548947964152,0.1896861654178991,-0.2198515123409558,2.326502996327083,161.81393775372126,3.3419246950407344,0.3105551570680379,0.1932420539990124,-0.3048679580816927,-0.0344002622716227,-0.0035558885811133,0.0850164457407368,-12.692511206448726,-19.45662356727166,6.76411236082292,0.3085926594076841,96.73,117.15,117.28,238.46,96.73,131.64,1,1,0.6515659841469505,0.4351012786297984,0.4821282692705916,0.5334439084968575,Budameru,0.93973917,0.7365915380935673,RED
Budameru_Krishna_0007,Budameru_Krishna,overtopping,Krishna,16.635904825068085,80.58402528396925,200.0,0.2709603937432775,0.1567824019398188,-0.2347684839754214,2.136078090267711,170.93234754034992,3.3792273572735385,0.2061909625714979,0.2630549090506702,-0.2067999256185655,0.0647694311717796,-0.1062725071108513,-0.0279685583568559,-11.618898386727492,-18.46950318607488,6.85060479934738,0.2344589079348712,96.73,117.15,117.28,238.71,96.73,131.95,1,1,0.6023559847124849,0.3310004920024999,0.44639386176771045,0.4683910315277965,Budameru,0.93973917,0.7040650996090367,RED
Budameru_Krishna_0008,Budameru_Krishna,overtopping,Krishna,16.635999833917936,80.58215256830108,200.0,0.2070723552418429,0.1445012781819467,-0.1729466251160223,1.4027448895761856,154.4324167592906,3.946685005795015,0.1224345758638875,0.2948990593569758,-0.1347270552334327,0.0846377793779553,-0.1503977811750291,-0.0382195698825895,-12.968850307082873,-19.72838959754444,6.759539290461545,0.3437097189997423,96.73,117.15,117.28,238.98,96.73,132.25,1,1,0.6286607263326494,0.2558717720634162,0.4993029414242043,0.4658451461113065,Budameru,0.93973917,0.7027921569007918,RED
Budameru_Krishna_0009,Budameru_Krishna,overtopping,Krishna,16.636034164782373,80.58028561170966,200.0,0.2080194452306804,0.1435008638500123,-0.1871511564687227,2.1246315179046067,176.00608901560918,3.465012966754485,0.2378277682675841,0.1718253069166236,-0.2713194893472786,-0.0298083230369037,-0.0283244430666113,0.0841683328785558,-11.985398741204817,-18.87949494518153,6.8940962039767175,0.2204587431811348,96.73,117.15,117.28,239.35,96.73,132.64,1,1,0.6279616611671205,0.3821334697173729,0.4927791823576404,0.5081261744573389,Budameru,0.93973917,0.723932671073808,RED
Budameru_Krishna_0010,Budameru_Krishna,overtopping,Krishna,16.635661160222778,80.5784948499598,200.0,0.2716372164745902,0.1526953537040839,-0.2412238574381147,3.0395360077332056,169.1477525374577,3.0922934842825023,0.2934979558051261,0.1789370457232381,-0.3139206135481553,-0.0218607393305358,-0.0262416920191541,0.0726967561100405,-11.000988313287282,-17.84641108243855,6.845422769151276,0.1546145913895334,96.73,117.15,117.28,239.73,96.73,133.01999999999998,1,1,0.6074932968793817,0.4124717536261519,0.4574091738682948,0.5017147259879795,Budameru,0.93973917,0.7207269468391283,RED
