segment_id,study_area,failure_mode,district,centroid_lat,centroid_lon,label,pre_NDVI,pre_LSWI,pre_NDWI,pre_slope,pre_aspect,pre_TWI,pre_rain_3d_mm,pre_rain_30d_mm,base_NDVI,base_LSWI,base_NDWI,base_slope,base_aspect,base_TWI,base_rain_3d_mm,base_rain_30d_mm
Budameru_Krishna_0001,Budameru_Krishna,overtopping,Krishna,16.63826099466185,80.59491643106483,1,0.3030276115101435,0.21090927900666395,-0.26340205543050155,2.150210236334637,175.0399207384853,3.4899696024822386,,,0.3649681037785625,0.21075518707493457,-0.38416814413457895,2.150210236334637,175.0399207384853,3.4899696024822386,,
Budameru_Krishna_0002,Budameru_Krishna,overtopping,Krishna,16.63775177042372,80.59311702657261,1,0.3091383005201659,0.22088043940333296,-0.27362249729026045,1.5802445271347798,132.2601362779684,3.8688751638068446,,,0.3419690299548515,0.16896034151315387,-0.38335941841153853,1.5802445271347798,132.2601362779684,3.8688751638068446,,
Budameru_Krishna_0003,Budameru_Krishna,overtopping,Krishna,16.63724362646031,80.59131730620408,1,0.349574742208329,0.23633931395746496,-0.3126700203380062,1.6292645211172316,172.7216584517251,3.8766657020374087,,,0.33521672047847445,0.15398382577646602,-0.3918952748978982,1.6292645211172316,172.7216584517251,3.8766657020374087,,
Budameru_Krishna_0004,Budameru_Krishna,overtopping,Krishna,16.63674664577756,80.5895142724678,1,0.2602467956951311,0.1840748697037879,-0.242195293093157,1.6241542625169145,158.7261260390489,3.8621207675836113,,,0.2802419267336883,0.12061560048007047,-0.344923342508636,1.6241542625169145,158.7261260390489,3.8621207675836113,,
Budameru_Krishna_0005,Budameru_Krishna,overtopping,Krishna,16.636259732602312,80.58770825081515,1,0.29813832412859853,0.20496636375913596,-0.2579593178031124,1.987483690136761,146.01928188276227,3.5761002734938865,,,0.2880825894778608,0.17674261304482672,-0.3293263791815453,1.987483690136761,146.01928188276227,3.5761002734938865,,
Budameru_Krishna_0006,Budameru_Krishna,overtopping,Krishna,16.635936794279363,80.58588344197284,1,0.2761548947964152,0.18968616541789912,-0.21985151234095582,2.326502996327083,161.81393775372126,3.3419246950407344,,,0.31055515706803793,0.19324205399901243,-0.3048679580816927,2.326502996327083,161.81393775372126,3.3419246950407344,,
Budameru_Krishna_0007,Budameru_Krishna,overtopping,Krishna,16.635904825068085,80.58402528396925,1,0.2709603937432775,0.15678240193981885,-0.23476848397542147,2.136078090267711,170.93234754034992,3.3792273572735385,,,0.2061909625714979,0.2630549090506702,-0.20679992561856553,2.136078090267711,170.93234754034992,3.3792273572735385,,
Budameru_Krishna_0008,Budameru_Krishna,overtopping,Krishna,16.635999833917936,80.58215256830108,1,0.2070723552418429,0.14450127818194672,-0.17294662511602232,1.4027448895761856,154.4324167592906,3.9466850057950147,,,0.12243457586388751,0.29489905935697586,-0.13472705523343276,1.4027448895761856,154.4324167592906,3.9466850057950147,,
Budameru_Krishna_0009,Budameru_Krishna,overtopping,Krishna,16.636034164782373,80.58028561170966,1,0.2080194452306804,0.14350086385001234,-0.18715115646872277,2.1246315179046067,176.00608901560918,3.465012966754485,,,0.2378277682675841,0.17182530691662365,-0.2713194893472786,2.1246315179046067,176.00608901560918,3.465012966754485,,
Budameru_Krishna_0010,Budameru_Krishna,overtopping,Krishna,16.635661160222778,80.5784948499598,1,0.27163721647459027,0.15269535370408396,-0.24122385743811478,3.0395360077332056,169.1477525374577,3.0922934842825023,,,0.2934979558051261,0.17893704572323813,-0.31392061354815537,3.0395360077332056,169.1477525374577,3.0922934842825023,,
Budameru_Krishna_0011,Budameru_Krishna,overtopping,Krishna,16.63494148334994,80.57677453228044,1,0.2555782960653422,0.1599527487379019,-0.2226185228406567,2.0710004833252773,186.1850652489125,3.600221688003821,,,0.24573223134755148,0.1395139435639157,-0.279304244896548,2.0710004833252773,186.1850652489125,3.600221688003821,,
Budameru_Krishna_0012,Budameru_Krishna,overtopping,Krishna,16.63420475036161,80.57506231109166,1,0.2779863205524147,0.20291115448671845,-0.2338939123779099,1.7663831432437664,155.37927701527167,3.7125904135552057,,,0.3155756267582155,0.1703242548215498,-0.35042160571107084,1.7663831432437664,155.37927701527167,3.7125904135552057,,
Budameru_Krishna_0013,Budameru_Krishna,overtopping,Krishna,16.633435993441914,80.57336528647122,1,0.2534558634537427,0.1956497739931208,-0.2012739541394606,1.4687862388867412,136.09460765365287,3.9428216557206426,,,0.3714531159338504,0.2279173906700184,-0.3890346387478706,1.4687862388867412,136.09460765365287,3.9428216557206426,,
Budameru_Krishna_0014,Budameru_Krishna,overtopping,Krishna,16.63265225494351,80.57167537546711,1,0.2861279662493541,0.21232064354114935,-0.20749894222180476,1.6784281502247573,147.97646092126254,3.788755273332288,,,0.33014001749657906,0.22176710105977754,-0.3341963766694305,1.6784281502247573,147.97646092126254,3.788755273332288,,
Budameru_Krishna_0015,Budameru_Krishna,overtopping,Krishna,16.631868502950383,80.56998547845443,1,0.3175696325150687,0.21830722280545564,-0.24968755921806063,1.8356700831560615,142.03321407851476,3.573366189415705,,,0.307409536740118,0.15873644925390354,-0.3416440977257969,1.8356700831560615,142.03321407851476,3.573366189415705,,
Budameru_Krishna_0016,Budameru_Krishna,overtopping,Krishna,16.631084737464604,80.56829559543368,1,0.29113146732894035,0.2195810193615159,-0.23449519563134094,1.7185113581440299,144.32885451909132,3.664119132991098,,,0.24911402427977528,0.1442133927774449,-0.29652033827343255,1.7185113581440299,144.32885451909132,3.664119132991098,,
Budameru_Krishna_0017,Budameru_Krishna,overtopping,Krishna,16.630300958488238,80.56660572640533,1,0.2936995832956324,0.22416429185405623,-0.23282243142263762,1.8509085636961138,121.14812487918033,3.627699747278312,51.23769938935041,107.89159860858177,0.22877196597659144,0.12885149763497672,-0.27731675437362013,1.8509085636961138,121.14812487918033,3.627699747278312,0.9864843132163514,25.972208831451127
Budameru_Krishna_0018,Budameru_Krishna,overtopping,Krishna,16.629517166023337,80.56491587136988,1,0.2384528313355804,0.203326432457474,-0.1973715888055521,1.6901769312578556,142.52673305617327,3.7171929184970374,51.23769938935041,107.89159860858177,0.1806668971664783,0.10287874947669425,-0.23386712210439028,1.6901769312578556,142.52673305617327,3.7171929184970374,0.9864843132163514,25.972208831451127
Budameru_Krishna_0019,Budameru_Krishna,overtopping,Krishna,16.628746550929716,80.56321965811858,1,0.23660282353086814,0.22876999196175024,-0.19495844214103475,2.441614306428226,170.34499758337358,3.435832383771079,51.23769938935041,107.89159860858177,0.20778796454963872,0.1063119599715111,-0.2590518424427591,2.441614306428226,170.34499758337358,3.435832383771079,0.9864843132163514,25.972208831451127
Budameru_Krishna_0020,Budameru_Krishna,overtopping,Krishna,16.627996497837152,80.56151351889794,1,0.27381168954277174,0.2583574185501489,-0.2181308392965164,2.676547388781431,147.80140232108312,3.2558943857267058,,,0.2657511474108037,0.15041545141095367,-0.29885734979449413,2.676547388781431,147.80140232108312,3.2558943857267058,,
Budameru_Krishna_0021,Budameru_Krishna,overtopping,Krishna,16.627253815746702,80.5598038256801,1,0.30383183574007167,0.24029015356416897,-0.237763520323856,2.827442827442828,130.73161533626651,3.184176968279973,,,0.24845755844347386,0.14386684229922078,-0.293087022276011,2.827442827442828,130.73161533626651,3.184176968279973,,
