segment_id,study_area,failure_mode,district,centroid_lat,centroid_lon,seg_length_m,pre_NDVI,pre_LSWI,pre_NDWI,pre_slope,pre_aspect,pre_TWI,base_NDVI,base_LSWI,base_NDWI,NDVI_anomaly,LSWI_anomaly,NDWI_anomaly,S1_VV,S1_VH,S1_ratio,S1_flood_proxy,rain_1d,rain_3d,rain_7d,rain_30d,rain_1d_anom,rain_30d_anom,canal_type_encoded,label
Budameru_Krishna_0001,Budameru_Krishna,overtopping,Krishna,16.63826099466185,80.59491643106483,200.0,0.3030276115101435,0.21090927900666395,-0.26340205543050155,2.150210236334637,175.0399207384853,3.4899696024822386,0.3649681037785625,0.21075518707493457,-0.38416814413457895,-0.06194049226841897,0.00015409193172938318,0.1207660887040774,-9.832368506428896,-17.23337182372133,7.401003317292437,0.09613608539702313,96.73,117.15,117.28,236.73,96.73,129.92,1,1
Budameru_Krishna_0002,Budameru_Krishna,overtopping,Krishna,16.63775177042372,80.59311702657261,200.0,0.3091383005201659,0.22088043940333296,-0.27362249729026045,1.5802445271347798,132.2601362779684,3.8688751638068446,0.3419690299548515,0.16896034151315387,-0.38335941841153853,-0.032830729434685624,0.051920097890179095,0.10973692112127809,-10.766575226402736,-18.276416743857606,7.509841517454874,0.1549450077332875,96.73,117.15,117.28,236.99,96.73,130.18,1,1
Budameru_Krishna_0003,Budameru_Krishna,overtopping,Krishna,16.63724362646031,80.59131730620408,200.0,0.349574742208329,0.23633931395746496,-0.3126700203380062,1.6292645211172316,172.7216584517251,3.8766657020374087,0.33521672047847445,0.15398382577646602,-0.3918952748978982,0.014358021729854564,0.08235548818099894,0.07922525455989199,-11.530764994092294,-18.861472389993246,7.330707395900957,0.22867451249892626,96.73,117.15,117.28,237.36,96.73,130.56,1,1
Budameru_Krishna_0004,Budameru_Krishna,overtopping,Krishna,16.63674664577756,80.5895142724678,200.0,0.2602467956951311,0.1840748697037879,-0.242195293093157,1.6241542625169145,158.7261260390489,3.8621207675836113,0.2802419267336883,0.12061560048007047,-0.344923342508636,-0.019995131038557212,0.06345926922371742,0.102728049415479,-11.539154290629925,-19.394306212146816,7.8551519215168915,0.22362769521518772,96.73,117.15,117.28,237.74,96.73,130.91000000000003,1,1
Budameru_Krishna_0005,Budameru_Krishna,overtopping,Krishna,16.636259732602312,80.58770825081515,200.0,0.29813832412859853,0.20496636375913596,-0.2579593178031124,1.987483690136761,146.01928188276227,3.5761002734938865,0.2880825894778608,0.17674261304482672,-0.3293263791815453,0.010055734650737724,0.028223750714309243,0.0713670613784329,-11.297089695103626,-18.719973156235525,7.422883461131881,0.1992654796933056,96.73,117.15,117.28,238.08,96.73,131.25,1,1
Budameru_Krishna_0006,Budameru_Krishna,overtopping,Krishna,16.635936794279363,80.58588344197284,200.0,0.2761548947964152,0.18968616541789912,-0.21985151234095582,2.326502996327083,161.81393775372126,3.3419246950407344,0.31055515706803793,0.19324205399901243,-0.3048679580816927,-0.03440026227162274,-0.0035558885811133034,0.08501644574073688,-12.692511206448726,-19.45662356727166,6.76411236082292,0.30859265940768416,96.73,117.15,117.28,238.46,96.73,131.64000000000001,1,1
Budameru_Krishna_0007,Budameru_Krishna,overtopping,Krishna,16.635904825068085,80.58402528396925,200.0,0.2709603937432775,0.15678240193981885,-0.23476848397542147,2.136078090267711,170.93234754034992,3.3792273572735385,0.2061909625714979,0.2630549090506702,-0.20679992561856553,0.0647694311717796,-0.10627250711085134,-0.027968558356855938,-11.618898386727492,-18.46950318607488,6.85060479934738,0.23445890793487126,96.73,117.15,117.28,238.71,96.73,131.95,1,1
Budameru_Krishna_0008,Budameru_Krishna,overtopping,Krishna,16.635999833917936,80.58215256830108,200.0,0.2070723552418429,0.14450127818194672,-0.17294662511602232,1.4027448895761856,154.4324167592906,3.9466850057950147,0.12243457586388751,0.29489905935697586,-0.13472705523343276,0.08463777937795539,-0.15039778117502914,-0.038219569882589566,-12.968850307082873,-19.72838959754444,6.759539290461545,0.34370971899974234,96.73,117.15,117.28,238.98,96.73,132.25,1,1
Budameru_Krishna_0009,Budameru_Krishna,overtopping,Krishna,16.636034164782373,80.58028561170966,200.0,0.2080194452306804,0.14350086385001234,-0.18715115646872277,2.1246315179046067,176.00608901560918,3.465012966754485,0.2378277682675841,0.17182530691662365,-0.2713194893472786,-0.0298083230369037,-0.028324443066611305,0.08416833287855585,-11.985398741204815,-18.879494945181534,6.8940962039767175,0.22045874318113484,96.73,117.15,117.28,239.35,96.73,132.64,1,1
Budameru_Krishna_0010,Budameru_Krishna,overtopping,Krishna,16.635661160222778,80.5784948499598,200.0,0.27163721647459027,0.15269535370408396,-0.24122385743811478,3.0395360077332056,169.1477525374577,3.0922934842825023,0.2934979558051261,0.17893704572323813,-0.31392061354815537,-0.02186073933053584,-0.02624169201915416,0.07269675611004059,-11.000988313287282,-17.84641108243855,6.845422769151276,0.1546145913895334,96.73,117.15,117.28,239.73,96.73,133.01999999999998,1,1
Budameru_Krishna_0011,Budameru_Krishna,overtopping,Krishna,16.63494148334994,80.57677453228044,200.0,0.2555782960653422,0.1599527487379019,-0.2226185228406567,2.0710004833252773,186.1850652489125,3.600221688003821,0.24573223134755148,0.1395139435639157,-0.279304244896548,0.009846064717790731,0.02043880517398622,0.056685722055891286,-11.50402505588072,-18.1238127812019,6.619787725321186,0.20481642999849628,96.73,117.15,117.28,240.19,96.73,133.44,1,1
Budameru_Krishna_0012,Budameru_Krishna,overtopping,Krishna,16.63420475036161,80.57506231109166,200.0,0.2779863205524147,0.20291115448671845,-0.2338939123779099,1.7663831432437664,155.37927701527167,3.7125904135552057,0.3155756267582155,0.1703242548215498,-0.35042160571107084,-0.03758930620580081,0.032586899665168645,0.11652769333316093,-11.196155962522713,-17.82143506999259,6.6252791074698685,0.21409854375187942,96.73,117.15,117.28,240.53,96.73,133.73000000000002,1,1
Budameru_Krishna_0013,Budameru_Krishna,overtopping,Krishna,16.633435993441914,80.57336528647122,200.0,0.2534558634537427,0.1956497739931208,-0.2012739541394606,1.4687862388867412,136.09460765365287,3.9428216557206426,0.3714531159338504,0.2279173906700184,-0.3890346387478706,-0.11799725248010767,-0.03226761667689759,0.18776068460841,-12.403071155398399,-19.041847858227115,6.638776702828734,0.24356137901406943,96.73,117.15,117.28,240.98,96.73,134.14999999999998,1,1
Budameru_Krishna_0014,Budameru_Krishna,overtopping,Krishna,16.63265225494351,80.57167537546711,200.0,0.2861279662493541,0.21232064354114935,-0.20749894222180476,1.6784281502247573,147.97646092126254,3.788755273332288,0.33014001749657906,0.22176710105977754,-0.3341963766694305,-0.04401205124722496,-0.009446457518628187,0.1266974344476257,-12.430935741033462,-19.47549286719098,7.044557126157518,0.2949984961113737,96.73,117.15,117.28,241.32,96.73,134.49,1,1
Budameru_Krishna_0015,Budameru_Krishna,overtopping,Krishna,16.631868502950383,80.56998547845443,200.0,0.3175696325150687,0.21830722280545564,-0.24968755921806063,1.8356700831560615,142.03321407851476,3.573366189415705,0.307409536740118,0.15873644925390354,-0.3416440977257969,0.010160095774950695,0.0595707735515521,0.09195653850773627,-11.059825314220365,-17.84973558285545,6.789910268635069,0.18606349615500273,96.73,117.15,117.28,241.71,96.73,134.89000000000001,1,1
Budameru_Krishna_0016,Budameru_Krishna,overtopping,Krishna,16.631084737464604,80.56829559543368,200.0,0.29113146732894035,0.2195810193615159,-0.23449519563134094,1.7185113581440299,144.32885451909132,3.664119132991098,0.24911402427977528,0.1442133927774449,-0.29652033827343255,0.042017443049165076,0.07536762658407098,0.06202514264209161,-11.281195711621995,-18.064795040719265,6.78359932909727,0.19427798182872616,96.73,117.15,117.28,242.09,96.73,135.27,1,1
Budameru_Krishna_0017,Budameru_Krishna,overtopping,Krishna,16.630300958488238,80.56660572640533,200.0,0.2936995832956324,0.22416429185405623,-0.23282243142263762,1.8509085636961138,121.14812487918033,3.627699747278312,0.22877196597659144,0.12885149763497672,-0.27731675437362013,0.06492761731904095,0.09531279421907951,0.04449432295098252,-11.832075173676964,-18.30972183793821,6.477646664261221,0.243052274386839,96.73,117.15,117.28,242.46,96.73,135.61,1,1
Budameru_Krishna_0018,Budameru_Krishna,overtopping,Krishna,16.629517166023337,80.56491587136988,200.0,0.2384528313355804,0.203326432457474,-0.1973715888055521,1.6901769312578556,142.52673305617327,3.7171929184970374,0.1806668971664783,0.10287874947669425,-0.23386712210439028,0.057785934169102104,0.10044768298077976,0.03649553329883817,-11.70051492004063,-18.513232587625357,6.81271766758473,0.23613795473091964,96.73,117.15,117.28,242.79,96.73,135.94,1,1
Budameru_Krishna_0019,Budameru_Krishna,overtopping,Krishna,16.628746550929716,80.56321965811858,200.0,0.23660282353086814,0.22876999196175024,-0.19495844214103475,2.441614306428226,170.34499758337358,3.435832383771079,0.20778796454963872,0.1063119599715111,-0.2590518424427591,0.02881485898122943,0.12245803199023914,0.06409340030172433,-11.297357956346982,-18.675666598854672,7.378308642507694,0.1969280343716434,96.73,117.15,117.28,243.17,96.73,136.32,1,1
Budameru_Krishna_0020,Budameru_Krishna,overtopping,Krishna,16.627996497837152,80.56151351889794,200.0,0.27381168954277174,0.2583574185501489,-0.2181308392965164,2.676547388781431,147.80140232108312,3.2558943857267058,0.2657511474108037,0.15041545141095367,-0.29885734979449413,0.008060542131968051,0.10794196713919521,0.08072651049797774,-10.52676046029939,-18.007793207564927,7.481032747265537,0.18169516281467482,96.73,117.15,117.28,243.58,96.73,136.76000000000002,1,1
Budameru_Krishna_0021,Budameru_Krishna,overtopping,Krishna,16.627253815746702,80.5598038256801,200.0,0.30383183574007167,0.24029015356416897,-0.237763520323856,2.827442827442828,130.73161533626651,3.184176968279973,0.24845755844347386,0.14386684229922078,-0.293087022276011,0.0553742772965978,0.09642331126494819,0.05532350195215502,-11.133430128288278,-17.724543958658753,6.591113830370486,0.24580129719513763,96.73,117.15,117.28,243.86,96.73,137.04000000000002,1,1
Budameru_Krishna_0022,Budameru_Krishna,overtopping,Krishna,16.62651111984296,80.55809414590647,200.0,0.24804551987901888,0.17168064599893795,-0.18831261579679032,2.3623398598017884,145.80966884215619,3.452362319701617,0.18436718459840842,0.11320723984075641,-0.22746181112327576,0.06367833528061045,0.05847340615818154,0.03914919532648545,-10.367207523798681,-17.631937878584058,7.2647303547853745,0.18727717881534303,96.73,117.15,117.28,244.15,96.73,137.33,1,1
Budameru_Krishna_0023,Budameru_Krishna,overtopping,Krishna,16.625768410127932,80.55638447957764,200.0,0.24952093977142764,0.18150117700401522,-0.19448004326132232,1.9942953831278705,162.73449359439212,3.6213041461836624,0.1770780450383037,0.12184584891110664,-0.21972924462867857,0.07244289473312393,0.05965532809290858,0.025249201367356255,-10.665138375649006,-17.62981062412939,6.964672248480384,0.19742295715666264,96.73,117.15,117.28,244.5,96.73,137.67000000000002,1,1
Budameru_Krishna_0024,Budameru_Krishna,overtopping,Krishna,16.62494336098033,80.55472361081476,200.0,0.30961834348336864,0.2185656162735709,-0.24253501210257555,2.098477893210921,126.48465812998307,3.590924419706362,0.2656073415235293,0.1755134661725217,-0.2881282743465971,0.04401100195983937,0.04305215010104921,0.04559326224402155,-10.5652801501378,-17.66621743002899,7.100937279891181,0.21031038556546025,143.64,169.95,170.31,244.81,143.64,137.96,1,1
Budameru_Krishna_0025,Budameru_Krishna,overtopping,Krishna,16.62384841903171,80.55325917767948,200.0,0.34258859871563985,0.2583772371490379,-0.2738721621897316,2.9359984531348187,166.99376419973896,3.117179458391725,0.31031172831711673,0.18705180304008379,-0.31849798419167674,0.032276870398523116,0.07132543410895409,0.04462582200194515,-10.277084565552908,-16.793535343158688,6.516450777605779,0.1855973532128816,143.64,169.95,170.31,245.23,143.64,138.33999999999997,1,1
Budameru_Krishna_0026,Budameru_Krishna,overtopping,Krishna,16.622497441326505,80.55202240989942,200.0,0.3797781777588413,0.28696203379084473,-0.3117845614656971,2.2101701469450887,133.6221964423821,3.4955232519658335,0.2763376983669034,0.2063243814107945,-0.283683707780079,0.1034404793919379,0.08063765238005022,-0.0281008536856181,-10.24877352845027,-16.744503525026975,6.495729996576704,0.19679068568482555,143.64,169.95,170.31,245.72,143.64,138.76999999999998,1,1
Budameru_Krishna_0027,Budameru_Krishna,overtopping,Krishna,16.621059126168916,80.5508890620221,200.0,0.35763227207569587,0.2756436718931558,-0.2915445015749547,2.019339554223275,156.0815162210511,3.6153061571536806,0.2688888570670842,0.1610919470150103,-0.2820185449210579,0.08874341500861166,0.1145517248781455,-0.009525956653896828,-10.133567927633177,-16.748110280472893,6.6145423528397185,0.1941144882397165,143.64,169.95,170.31,246.02,143.64,139.02,1,1
