segment_id,study_area,failure_mode,district,centroid_lat,centroid_lon,seg_length_m,canal_type,label,canal_type_encoded,pre_NDVI,pre_LSWI,pre_NDWI,base_NDVI,base_LSWI,base_NDWI,NDVI_anomaly,LSWI_anomaly,NDWI_anomaly,S1_VV,S1_VH,S1_ratio,S1_flood_proxy,S1_SMI,slope,aspect,TWI,smap_sm_mean,smap_sm_max,smap_sm_anom,era5_sm_l1,era5_sm_l2,era5_sm_l3,sm_days_above_fc,sm_l2_anom,clay_pct,encroachment_pct,rain_1d,rain_3d,rain_7d,rain_30d,rain_1d_anom,rain_30d_anom
control_Krishna_323,control_Krishna,none,Krishna Right Flood Bank,16.301498970686612,80.75641254249747,200.0,control,0,0,0.26621064355577306,0.23816515497261542,-0.2099287338575275,0.5529473432089129,0.22478619698496466,-0.4916249527337646,-0.28673669965313986,0.013378957987650764,0.2816962188762371,-7.891024166317096,-14.618307396085513,6.727283229768402,0.0,1.0,1.2952256440054235,148.5968913422429,4.123239533443999,0.47580542606144133,0.4899517304943379,0.0273236473977278,0.2970192963400629,0.29063049408902175,0.26715371134070126,22.40080971659919,-0.05497969554822557,30.643311534361242,0.4843572820683825,0.0,0.0,11.77,119.23468983798433,0.0,-37.788013349081226
control_Krishna_346,control_Krishna,none,Krishna Right Flood Bank,16.328325500336124,80.72581002509787,200.0,control,0,0,0.17485276606691394,0.25035549924309225,-0.13108005698485914,0.4186995571966868,0.13501737503826738,-0.3822052660134581,-0.24384679112977284,0.11533812420482487,0.251125209028599,-8.03331266255274,-15.421242580189364,7.3879299176366375,0.005486820871436255,0.996668733744726,1.7500847252481244,161.74233841684827,3.69053364274721,0.47240485003500277,0.489235556270137,0.02675356449502886,0.2980874426925421,0.2932252392991204,0.2700988398208419,22.95719844357977,-0.056091407629393686,30.79512813023819,0.8176174523437724,0.0,0.0,11.77,122.7198057676791,0.0,-32.05082771860401
control_Krishna_369,control_Krishna,none,Krishna Right Flood Bank,16.36670253419018,80.71457568577286,200.0,control,0,0,0.1827211712082894,0.17041917934860476,-0.16643207766828255,0.39555276528121946,0.14036833484804057,-0.3937499522444159,-0.21283159407293006,0.030050844500564194,0.22731787457613334,-9.823578833033787,-17.003174332814915,7.17959549978111,0.006474232125957153,0.8176421166966212,1.901229190863337,188.73412698412696,3.6764413030671284,0.4694156115040458,0.48907567803845087,0.024681520315767203,0.30470320082339,0.30447968431948585,0.28274146482501833,27.027131782945737,-0.05361036620691717,30.942869037668853,0.5956859648715387,0.0,0.0,11.77,123.51188764649082,0.0,-30.746905305418167
control_Krishna_392,control_Krishna,none,Krishna Right Flood Bank,16.395631853563557,80.68674022056528,200.0,control,0,0,0.26484377233411865,0.2161366393090703,-0.23814396539177096,0.38048934709165777,0.14271760938394765,-0.3989697695428413,-0.11564557475753912,0.07341902992512264,0.16082580415107034,-10.66636648607667,-18.08004199738978,7.413675511313109,0.07773045984428097,0.733363351392333,2.024972172482214,169.51289744954744,3.501654980613396,0.4633444320052027,0.4883427411571925,0.021760044304084514,0.3107752717559477,0.3143917559127547,0.29809109768367953,30.571984435797667,-0.05705456069511855,32.78772088232112,0.7201091320710904,0.0,0.0,16.49,120.74678358616573,0.0,-34.637555678295215
control_Krishna_415,control_Krishna,none,Krishna Right Flood Bank,16.426381721537325,80.66024043742439,200.0,control,0,0,0.38806008196675223,0.16291840291392884,-0.37163109839348996,0.48999059045123716,0.16064021922739022,-0.45955188924378704,-0.10193050848448493,0.0022781836865386207,0.08792079085029708,-9.219790559256857,-16.200756712793986,6.980966153537128,0.0,0.8780209440743143,1.615198451113262,124.85997095837364,3.796369292141016,0.45327430006494157,0.48684905678652435,0.01827093522190615,0.30905706238511926,0.30818441885398884,0.2898879143167269,28.11284046692607,-0.06040511460087389,33.827431791032346,0.829222758433232,0.0,0.0,16.49,115.2742127141376,0.0,-41.7039678254383
control_Krishna_438,control_Krishna,none,Krishna Right Flood Bank,16.463301406333088,80.64242040932336,200.0,control,0,0,0.40429080983149285,0.1529049969136768,-0.41726742094535274,0.42922405612126013,0.1498723838132624,-0.39907234711134343,-0.024933246289767286,0.0030326131004143886,-0.018195073834009312,-10.078155453365422,-17.830247003560338,7.752091550194914,0.0,0.7921844546634578,1.2897309330236162,152.4133759194735,4.003133437711632,0.44116330024854655,0.48497693798315367,0.012182417938712109,0.3033158319249241,0.2947745109769597,0.2702669902084248,23.052631578947366,-0.061512115357663266,34.03069135439503,0.9006237971353689,0.0,0.0,16.49,112.63495880084186,0.0,-44.38463836828639
control_Godavari_001,control_Godavari,none,Goutami Left Bank,16.729298011924474,82.21252804844023,200.0,control,0,0,0.40632822819400904,0.13989847211922238,-0.4066863030455275,0.19271932420401758,0.19078402103213352,-0.2183513316016985,0.21360890398999147,-0.05088554891291114,-0.188334971443829,-8.105400167264316,-16.826468980046094,8.721068812781782,0.005473512492487336,0.9894599832735684,2.1336908730733906,156.1681403101898,3.6258351334793377,0.47792035549777373,0.5843101020762539,-0.042970094054225305,0.2622500265417739,0.265229807575882,0.27008457675076913,19.697674418604652,-0.02872177060517872,37.52228935884523,0.7435981510598763,0.0,0.0,25.08,96.87134949782302,-1.6,-67.14666316810656
control_Godavari_016,control_Godavari,none,Goutami Left Bank,16.73055446684783,82.18497045281553,200.0,control,0,0,0.3409039752550381,0.21552715533829062,-0.39514656306358686,0.3222768920917151,0.24399905456716228,-0.3361195333082869,0.01862708316332301,-0.028471899228871667,-0.05902702975529994,-8.408316527344326,-15.421893221663167,7.013576694318855,0.008349968875437356,0.9591683472655674,3.968413426708523,145.94397488529336,2.830570248743956,0.49344254619910066,0.583481563450388,-0.04443185648105075,0.28331848590039804,0.2848308329893884,0.28429613567072265,25.84108527131783,-0.027998553967796158,36.9610747394743,0.33605960880514374,0.0,0.0,25.08,101.55471902014688,-1.6,-64.08110070919088
control_Godavari_031,control_Godavari,none,Goutami Left Bank,16.72681700847165,82.157715709299,200.0,control,0,0,0.5381348739900391,0.34958076492417506,-0.5253900293315977,0.5755281630721666,0.3535507260194735,-0.5474863121242738,-0.03739328908212747,-0.003969961095298458,0.02209628279267606,-7.5964049379234,-15.053278115667377,7.456873177743975,0.0003006033538745625,1.0,2.4803670610963535,156.5672542864042,3.4278898752939946,0.5082271786016338,0.5814638341915059,-0.04339835900667377,0.30514471176667596,0.30581309477115953,0.3031610975613752,33.992063492063494,-0.02602202282866789,35.95147816598299,0.2168403454355539,0.0,0.0,25.08,104.98787976035794,-1.6,-61.88151322768124
control_Godavari_046,control_Godavari,none,Goutami Left Bank,16.72182262064891,82.13135009210684,200.0,control,0,0,0.2594437968410501,0.26812525509199103,-0.2716437065020475,0.21591568735753072,0.3842303656375941,-0.2611014963683969,0.0435281094835194,-0.11610511054560307,-0.010542210133650587,-12.91772686182862,-19.913844627823757,6.9961177659951375,0.22087706871015514,0.508227313817138,3.316905831763058,143.6024544619993,3.2697413202883974,0.5159178043565442,0.5795022381890205,-0.04334505652227716,0.3318449698990443,0.3317418742594959,0.3267173605498059,44.457364341085274,-0.023478646641356904,34.79140989262366,0.4494209527176179,0.0,0.0,25.08,104.62611463187825,-1.6,-61.93635024889214
